hood_length,hood_width,hood_thickness,material_density,youngs_modulus,poisson_ratio,yield_strength,impact_velocity,impact_angle,hood_mass,stiffness,energy_absorption,hic_value
1567.75,1380.83,1.299,6354.96,50.72,0.284,321.58,10.26,61.88,9.33,53658.93,1026.45,3000.0
1540.41,1648.57,1.294,6561.97,141.16,0.279,366.36,9.98,72.69,8.43,60155.63,1315.63,3000.0
1159.11,1501.63,1.36,2163.98,209.25,0.271,428.57,6.76,63.63,19.93,92794.41,1490.79,3000.0
910.82,1339.33,1.285,4513.69,186.19,0.343,430.86,6.53,62.37,10.79,77380.95,579.98,3000.0
1549.82,1739.74,1.164,4891.8,131.04,0.367,218.68,7.48,78.04,8.65,66565.61,1160.96,3000.0
1199.73,1430.33,0.718,2211.32,55.5,0.337,350.05,9.55,57.53,10.28,83824.37,1141.72,3000.0
1576.66,1526.13,0.629,3606.92,182.18,0.272,314.78,8.39,53.61,8.47,89149.3,1477.95,3000.0
1574.53,1743.88,1.429,6509.68,143.83,0.372,498.21,8.35,67.54,12.7,56551.05,1484.16,3000.0
1497.11,1574.54,1.155,2895.24,63.96,0.345,402.57,10.57,79.08,17.63,58008.67,1155.35,3000.0
1106.11,1270.14,1.317,5204.8,60.49,0.308,363.0,10.62,61.34,12.09,50884.07,667.98,3000.0
1169.57,1763.9,1.033,3348.17,195.09,0.351,196.16,10.68,51.86,13.33,97336.49,1278.41,3000.0
1495.8,1576.62,0.706,2170.3,155.42,0.289,392.26,7.94,60.18,16.11,75773.3,517.73,3000.0
1121.85,1400.94,0.713,3498.97,181.83,0.302,196.88,9.68,65.18,14.11,26657.85,1258.77,3000.0
1018.64,1283.56,1.217,7760.07,190.03,0.388,284.88,7.75,54.86,18.34,89036.77,1401.22,3000.0
1289.76,1676.42,0.987,6748.92,139.34,0.294,207.14,7.38,69.74,18.39,58444.8,821.12,3000.0
1555.31,1572.04,0.78,7665.54,130.38,0.32,426.83,7.35,79.93,8.12,25500.31,1093.7,3000.0
1387.22,1520.08,1.042,4929.55,116.02,0.384,232.5,8.07,63.55,17.34,63977.38,873.16,3000.0
1299.04,1736.34,0.658,2736.47,97.3,0.356,306.74,8.48,60.64,13.53,53373.14,881.54,3000.0
968.02,1673.16,1.124,5278.17,116.71,0.259,508.27,10.32,62.02,19.87,90219.95,741.41,3000.0
1330.51,1291.0,0.842,4735.39,172.69,0.272,231.73,7.05,53.45,13.8,36319.57,1238.34,3000.0
1593.04,1387.03,1.318,6997.27,144.32,0.251,353.12,9.88,76.5,19.84,86117.17,1429.79,3000.0
998.06,1349.09,0.879,2668.88,192.27,0.345,317.71,8.94,62.44,17.05,64615.1,1434.83,3000.0
1262.83,1646.37,1.01,4931.8,118.16,0.317,157.25,7.82,61.62,10.98,24368.82,592.26,3000.0
1514.16,1220.12,0.61,2970.28,145.17,0.27,467.1,8.77,69.79,14.46,97747.62,1362.22,3000.0
1418.54,1541.93,0.665,3983.12,149.17,0.394,177.62,7.88,63.26,19.91,61009.22,1211.17,3000.0
1387.91,1657.48,0.953,6376.67,142.63,0.329,339.7,9.24,69.45,18.29,43270.15,678.12,3000.0
1391.74,1726.06,1.032,4860.91,160.93,0.286,374.27,8.5,51.84,9.17,57552.55,474.01,3000.0
1151.64,1405.25,1.14,4280.15,84.18,0.325,401.37,7.26,74.41,16.48,88628.62,694.8,3000.0
1105.51,1692.75,0.862,4387.96,129.54,0.352,425.45,7.04,78.22,12.15,44392.25,1403.43,3000.0
1466.55,1266.38,1.225,4764.79,62.2,0.261,251.31,9.01,69.46,8.08,35414.11,1096.5,3000.0
1467.08,1707.87,1.374,6653.1,108.44,0.291,153.99,10.65,78.64,12.84,30325.7,1193.16,3000.0
1506.95,1276.49,1.302,7274.09,125.47,0.371,439.38,8.08,54.54,10.82,43828.75,682.87,3000.0
1539.27,1438.37,0.636,7640.94,152.62,0.319,364.26,9.87,64.32,17.83,82403.85,1191.33,3000.0
1257.94,1678.38,1.032,6664.04,201.84,0.332,484.45,9.53,68.05,12.05,57730.11,430.93,3000.0
1251.06,1289.95,0.694,3929.36,144.11,0.315,478.56,10.79,67.45,17.93,38198.53,812.85,3000.0
1458.81,1337.55,0.818,6091.18,167.69,0.257,487.33,10.28,62.04,8.01,33294.8,1089.43,3000.0
1354.97,1633.35,1.488,4638.1,128.53,0.275,344.04,9.11,60.14,11.69,46618.36,560.71,3000.0
1391.38,1632.02,0.728,3577.09,149.63,0.317,283.45,9.52,53.8,10.89,95193.95,1305.3,3000.0
1457.05,1584.69,1.049,6977.06,56.7,0.281,466.62,10.63,61.75,10.8,47442.14,658.53,3000.0
1523.0,1616.37,1.156,2322.87,86.97,0.257,330.52,8.34,54.88,8.82,99049.93,1117.51,3000.0
1136.6,1525.63,1.232,7330.22,104.71,0.377,223.38,8.0,72.03,10.25,58818.44,845.72,3000.0
1162.91,1351.08,1.104,4776.57,122.96,0.397,491.99,6.55,56.26,14.67,34333.11,1055.65,3000.0
965.79,1407.42,0.609,5795.77,52.53,0.369,503.02,10.3,51.76,11.5,91291.21,518.2,3000.0
1304.8,1308.96,0.894,5924.25,68.1,0.378,336.52,10.18,66.57,13.01,56828.43,418.6,3000.0
925.16,1745.07,1.066,7291.68,90.67,0.286,180.28,6.98,67.86,12.52,76773.71,1400.52,3000.0
1225.92,1550.04,0.679,5792.68,205.3,0.394,305.13,9.15,76.16,18.51,98696.93,696.59,3000.0
1279.85,1440.51,0.916,5660.81,99.67,0.28,471.42,8.63,67.31,18.86,24014.03,1301.64,3000.0
1100.58,1477.2,0.63,2486.58,124.54,0.393,510.71,7.05,60.36,13.92,27735.56,1499.29,3000.0
1313.58,1768.37,0.671,5106.77,77.36,0.399,231.39,11.01,74.09,11.96,77636.54,632.57,3000.0
921.35,1292.01,0.957,2970.98,145.78,0.357,176.79,7.49,66.21,9.28,42546.0,691.69,3000.0
926.14,1551.74,0.719,6377.12,91.31,0.397,500.94,6.81,52.38,19.44,34744.11,1129.15,3000.0
1475.82,1503.53,1.111,5070.89,79.15,0.335,305.76,9.24,66.98,8.72,23148.95,1461.99,3000.0
1152.13,1566.87,1.221,6045.32,130.23,0.289,366.7,9.9,77.24,11.57,21747.74,1407.4,3000.0
988.94,1210.87,1.321,2341.7,45.91,0.316,537.23,6.65,61.89,11.58,81958.85,953.16,3000.0
1265.57,1723.27,0.78,2591.79,46.26,0.339,176.63,9.53,58.89,11.84,30754.67,1274.62,3000.0
1439.0,1759.27,0.751,6254.68,81.15,0.261,409.33,8.95,54.3,9.97,57417.65,549.32,3000.0
1051.07,1539.08,0.694,2518.09,51.06,0.343,179.64,6.98,54.54,17.4,68471.75,1475.18,3000.0
1336.02,1617.99,1.173,2513.29,62.82,0.397,300.19,7.29,62.98,9.47,54268.14,1460.79,3000.0
959.74,1753.5,1.236,2170.23,100.91,0.279,471.53,9.11,67.87,15.62,22168.53,580.1,3000.0
936.18,1624.34,0.628,7647.71,177.43,0.369,323.39,7.86,52.42,9.49,82680.12,729.37,3000.0
1271.95,1291.52,1.443,6377.55,139.39,0.386,548.87,10.82,78.19,8.85,20841.06,510.17,3000.0
1278.44,1545.77,0.647,4148.86,129.59,0.392,373.62,10.27,72.65,18.91,80951.19,698.89,3000.0
1346.2,1564.03,1.087,3819.91,93.43,0.394,278.46,11.02,67.6,10.28,91464.36,1297.55,3000.0
1408.26,1454.48,1.238,4128.28,198.74,0.328,238.04,7.69,74.85,17.86,54627.19,816.15,3000.0
1583.1,1641.87,1.384,6592.99,110.51,0.397,290.21,10.96,52.41,14.54,62843.4,497.24,3000.0
1261.41,1760.62,1.243,5935.95,59.37,0.364,299.01,8.48,64.31,8.93,58158.67,776.45,3000.0
1126.07,1755.34,1.322,3174.13,146.82,0.274,177.49,8.1,68.9,19.47,51136.69,1479.52,3000.0
1456.63,1470.5,0.906,3109.83,63.78,0.322,297.83,6.73,74.86,10.96,90993.96,1092.65,3000.0
1089.58,1267.94,1.333,2670.69,101.96,0.358,335.7,6.74,73.5,18.32,91514.68,857.78,3000.0
1207.28,1790.9,0.672,5929.76,128.72,0.287,439.1,9.68,58.31,10.03,46865.31,583.19,3000.0
954.92,1703.34,1.405,6533.36,189.25,0.346,412.69,8.61,78.23,18.25,69205.58,1484.79,3000.0
917.75,1274.8,1.093,3637.27,126.44,0.35,433.51,7.54,53.73,8.16,94152.6,1302.93,3000.0
1573.85,1752.51,1.336,2221.48,160.87,0.274,153.35,9.32,76.25,14.14,96964.68,709.63,3000.0
1485.19,1721.94,1.007,2576.6,208.81,0.335,237.07,7.66,79.13,17.23,60716.72,477.08,3000.0
1387.18,1511.3,1.179,7713.59,66.7,0.366,414.67,9.16,55.31,19.22,56225.98,462.29,3000.0
1186.27,1554.77,1.074,3813.58,90.33,0.325,343.6,8.15,71.66,18.91,42295.55,532.42,3000.0
1021.31,1439.4,1.258,6561.49,110.11,0.252,152.13,10.29,51.21,17.84,96709.75,1038.85,3000.0
1009.51,1232.86,0.673,5723.05,114.6,0.251,471.8,10.28,62.16,18.66,31425.14,1421.64,3000.0
1075.17,1401.12,0.654,4315.25,112.82,0.304,459.12,8.7,65.49,10.39,66386.37,946.42,3000.0
1284.46,1681.71,0.822,3292.99,194.76,0.389,369.37,8.11,67.42,11.41,42604.02,1327.24,3000.0
1400.22,1202.78,0.744,2804.04,162.82,0.284,176.59,8.17,78.08,11.47,42320.66,890.48,3000.0
1362.14,1400.1,1.385,5667.08,145.3,0.345,456.61,10.21,70.17,12.52,52397.49,1179.44,3000.0
1095.95,1438.9,0.797,6592.88,96.05,0.283,383.49,8.01,64.44,12.72,99903.43,1205.06,3000.0
1568.41,1522.44,1.478,5834.64,180.93,0.298,462.78,7.46,74.29,14.53,24397.3,591.36,3000.0
1416.53,1751.91,0.903,5175.75,202.58,0.377,450.7,6.89,78.52,9.92,66283.35,797.34,3000.0
1288.05,1407.81,0.764,2343.32,180.5,0.359,471.2,8.65,50.66,16.29,26605.77,1101.03,3000.0
1328.2,1408.17,1.311,7717.23,45.26,0.264,357.2,8.72,79.48,10.01,32361.67,477.77,3000.0
1193.72,1642.5,1.193,6732.54,150.01,0.314,206.13,10.37,52.58,11.72,55165.04,797.69,3000.0
1073.41,1471.33,1.048,3798.37,53.44,0.254,418.46,7.52,74.43,14.04,60836.81,988.28,3000.0
1149.18,1334.76,1.1,7783.83,87.51,0.322,398.19,8.25,58.41,17.56,40703.39,1495.85,3000.0
1430.49,1471.46,1.247,5590.91,54.82,0.349,446.9,10.22,53.97,16.87,45316.57,921.99,3000.0
910.08,1284.51,0.806,5478.05,144.63,0.268,217.95,10.29,63.2,15.75,26957.36,1297.66,3000.0
981.25,1305.83,1.497,6438.82,158.29,0.293,227.99,8.27,69.32,9.87,44257.58,875.27,3000.0
932.2,1499.02,1.477,6808.26,63.89,0.31,506.16,8.61,61.43,14.56,97324.68,1276.03,3000.0
928.51,1451.36,1.185,5907.58,108.33,0.388,449.99,7.9,51.64,9.05,95576.59,1054.96,3000.0
1498.82,1748.91,0.78,2842.96,120.28,0.399,513.29,10.79,67.98,12.53,46790.26,1375.25,3000.0
1392.56,1417.44,1.212,4061.95,105.89,0.257,453.49,7.05,77.07,12.96,65668.31,852.04,3000.0
1231.92,1548.35,0.665,7482.89,64.97,0.364,388.86,10.8,61.5,8.48,92767.63,1064.73,3000.0
968.48,1579.36,0.628,3402.77,114.13,0.306,411.65,9.65,56.49,11.29,20494.71,1093.02,3000.0
1244.13,1207.86,0.832,4258.57,168.94,0.309,505.65,8.95,63.28,19.47,84854.69,859.12,3000.0
1231.43,1598.12,1.016,4606.05,56.72,0.363,381.52,6.65,51.45,19.44,95869.56,558.74,3000.0
1021.24,1306.82,1.381,4648.55,58.23,0.388,402.96,8.69,74.61,12.23,27306.06,502.92,3000.0
1203.7,1776.64,1.254,5655.05,103.54,0.393,212.59,8.38,74.79,8.52,32915.81,418.34,3000.0
1178.95,1289.2,1.268,7569.84,200.38,0.337,339.57,7.24,67.64,10.15,96859.7,1360.89,3000.0
1331.1,1448.77,0.983,3496.02,155.31,0.304,436.56,9.52,60.59,12.71,63003.21,660.12,3000.0
1344.57,1251.21,0.911,2804.71,156.98,0.368,258.38,10.97,73.99,19.37,21135.73,632.66,3000.0
931.71,1798.12,0.934,3245.33,104.72,0.288,230.9,9.09,66.64,9.69,40610.56,1209.64,3000.0
1162.23,1501.32,1.489,7244.16,142.95,0.335,275.53,9.79,74.78,17.16,55995.49,752.02,3000.0
1338.1,1557.23,0.636,5845.7,46.67,0.304,246.6,6.81,68.94,9.3,75432.71,956.65,3000.0
1252.2,1240.25,1.38,3758.26,149.96,0.348,235.97,8.42,73.53,19.78,78652.83,578.76,3000.0
1499.54,1649.98,1.121,6832.49,195.69,0.286,319.94,7.04,67.96,12.58,99633.72,1455.72,3000.0
1361.09,1325.94,0.995,7095.95,146.07,0.279,513.14,9.32,62.42,17.3,43000.9,1336.74,3000.0
1014.05,1738.83,1.253,7009.78,189.16,0.388,352.82,10.82,78.74,12.11,63057.61,1350.17,3000.0
949.4,1323.08,1.038,7429.77,164.46,0.265,225.17,9.54,66.23,15.53,62665.88,847.45,3000.0
1349.69,1314.41,1.386,3563.0,64.89,0.326,180.79,6.85,68.15,10.3,52451.62,1238.6,3000.0
918.56,1221.93,1.411,6479.24,193.9,0.283,428.46,8.13,56.61,9.75,33532.95,558.26,3000.0
1310.04,1483.24,0.98,4771.13,55.96,0.256,303.12,9.03,68.77,19.26,98196.53,409.48,3000.0
1558.16,1538.9,0.849,6983.59,133.1,0.255,478.73,8.35,67.15,19.01,88265.37,421.97,3000.0
1302.83,1239.43,1.133,6325.25,68.45,0.276,413.8,10.33,55.55,18.65,59866.64,1045.26,3000.0
1171.72,1665.32,1.421,6603.4,46.93,0.38,468.5,10.25,51.79,15.51,68259.63,900.93,3000.0
1350.3,1471.97,0.79,5905.74,114.64,0.292,258.78,9.31,68.13,17.7,38180.88,969.82,3000.0
1220.78,1514.63,1.161,3129.09,93.68,0.393,426.94,8.22,72.91,8.83,63502.97,408.21,3000.0
1281.93,1464.46,1.168,5261.16,125.19,0.337,255.62,7.67,65.7,12.02,75597.61,864.96,3000.0
1559.03,1440.46,1.26,7811.08,140.24,0.315,525.63,6.99,56.8,11.76,61213.36,1189.87,3000.0
1170.27,1535.78,0.718,7536.85,52.22,0.337,404.55,8.13,70.0,15.63,99222.81,886.96,3000.0
1572.83,1293.14,1.244,2350.41,65.3,0.328,279.8,8.4,52.4,12.27,68907.33,1205.44,3000.0
1533.75,1309.16,1.418,3055.93,137.18,0.364,257.8,9.61,63.26,9.78,49677.9,656.32,3000.0
1037.05,1717.07,0.762,2864.03,101.62,0.292,226.37,9.53,54.9,15.16,81772.16,1294.46,3000.0
948.55,1767.67,0.814,6310.68,165.31,0.303,427.86,6.82,55.53,17.77,33637.0,1047.27,3000.0
970.54,1423.99,1.474,6843.15,152.63,0.384,237.49,8.32,56.07,12.59,50761.27,631.84,3000.0
912.76,1362.45,0.763,3338.37,184.52,0.392,388.12,7.34,61.6,9.59,47756.72,660.39,3000.0
966.11,1586.4,1.369,5033.95,159.26,0.384,255.85,7.22,51.53,10.36,54544.57,1090.83,3000.0
1378.1,1445.24,1.043,6976.08,115.94,0.313,414.79,10.31,61.93,10.85,82542.39,1312.93,3000.0
949.83,1215.23,0.823,6350.25,156.04,0.367,475.98,6.69,65.35,11.6,58733.84,857.19,3000.0
1123.28,1293.69,1.384,5244.98,90.44,0.321,461.21,8.43,64.5,15.71,83521.16,684.13,3000.0
1491.41,1629.58,1.001,5524.02,95.54,0.325,454.34,7.27,61.48,15.21,66119.11,1353.71,3000.0
916.29,1595.35,1.063,5048.49,175.18,0.281,225.09,10.54,75.17,16.35,47365.55,1136.2,3000.0
1470.13,1216.26,0.923,3825.78,118.66,0.339,185.35,9.06,54.36,12.35,84798.3,892.89,3000.0
1097.3,1333.18,1.134,5377.13,176.73,0.278,429.58,7.56,65.17,17.89,39063.17,936.69,3000.0
982.72,1338.64,0.747,6095.53,180.7,0.3,297.34,8.81,51.86,10.45,37950.64,624.68,3000.0
1387.72,1603.14,0.952,7165.27,186.5,0.378,322.94,9.86,52.13,13.63,60360.23,1089.48,3000.0
1340.26,1211.83,1.472,5790.49,196.24,0.281,162.46,10.91,67.22,17.61,40867.94,794.62,3000.0
1514.23,1262.47,0.832,6514.5,116.11,0.261,253.83,7.51,66.98,10.16,20726.96,1495.21,3000.0
1414.55,1679.95,1.191,3028.42,97.61,0.26,163.47,10.58,76.34,9.32,71863.8,928.2,3000.0
1462.44,1307.13,0.893,4777.03,141.06,0.391,501.67,10.8,66.74,18.6,60887.51,934.47,3000.0
1097.42,1591.65,1.296,2154.12,106.24,0.326,247.36,10.72,78.79,12.12,55641.43,1022.44,3000.0
1024.21,1342.91,0.718,3530.74,144.18,0.311,372.93,9.42,51.46,16.21,97357.48,1408.43,3000.0
1425.43,1259.66,1.473,6313.48,161.42,0.372,165.59,9.4,52.94,8.3,65695.93,1280.9,3000.0
1464.78,1345.9,1.008,7852.5,158.59,0.375,416.74,8.35,51.32,16.28,89074.53,896.24,3000.0
1593.35,1633.36,0.812,2675.23,106.8,0.3,279.21,9.96,55.56,11.79,31156.02,1190.57,3000.0
1188.83,1713.42,0.666,4428.67,72.53,0.354,509.17,8.94,66.24,8.67,65536.52,1044.86,3000.0
1160.41,1698.13,0.753,6740.41,116.04,0.366,505.25,9.62,69.37,15.32,89438.37,941.6,3000.0
1443.49,1438.31,1.068,3283.41,68.53,0.348,280.12,8.47,51.37,10.89,66648.46,611.55,3000.0
1138.56,1600.85,0.903,5319.49,191.87,0.273,510.38,9.86,78.38,12.64,77441.13,910.33,3000.0
1551.53,1322.99,1.346,6351.81,102.07,0.381,548.46,10.29,75.26,8.97,49763.49,670.4,3000.0
1500.89,1375.89,0.988,5672.72,70.49,0.331,480.17,7.17,58.9,9.77,27395.96,1406.33,3000.0
1200.3,1737.8,0.824,3190.54,49.2,0.292,487.95,10.33,52.32,11.58,56632.02,768.95,3000.0
1425.61,1207.8,1.155,4161.23,151.56,0.314,249.6,8.99,55.1,9.08,51558.35,1447.49,3000.0
1428.18,1251.31,1.236,6645.99,150.09,0.256,380.68,10.39,53.81,18.93,89364.81,986.36,3000.0
972.19,1324.73,0.75,5314.51,101.2,0.269,176.9,8.48,53.7,8.07,39519.62,1094.7,3000.0
1531.79,1215.92,0.751,2130.33,56.83,0.365,187.97,8.24,65.56,13.81,97338.74,997.23,3000.0
1253.68,1308.86,0.633,6513.75,112.59,0.25,549.56,10.71,57.38,9.48,96651.05,542.32,3000.0
1478.52,1549.82,1.263,2304.81,96.35,0.312,280.66,7.66,60.74,11.69,39810.53,813.4,3000.0
1124.03,1452.85,1.197,6425.26,156.72,0.328,449.27,10.38,79.69,19.11,47844.16,509.06,3000.0
1526.87,1735.6,1.027,3274.39,144.95,0.258,472.67,8.73,70.53,9.94,91644.46,1085.25,3000.0
1172.44,1690.47,1.36,7656.83,105.16,0.396,493.21,8.86,78.47,19.59,97329.78,891.56,3000.0
907.59,1405.09,1.325,4234.06,80.95,0.284,549.05,7.92,54.28,10.47,55475.13,1255.78,3000.0
1533.77,1355.65,1.127,3996.2,208.03,0.296,246.6,9.14,61.46,16.9,45679.76,642.52,3000.0
963.9,1427.82,1.381,2963.55,119.91,0.296,166.14,8.0,66.64,14.56,62087.52,581.02,3000.0
1123.52,1554.18,0.785,3872.5,158.57,0.285,314.48,6.68,52.3,18.61,75021.54,846.97,3000.0
1565.04,1360.84,0.701,7184.57,68.19,0.25,202.03,7.75,50.13,14.65,41877.96,1419.24,3000.0
1565.43,1574.49,0.843,7878.74,125.12,0.359,158.97,6.53,70.11,14.41,78917.85,1181.46,3000.0
1301.41,1445.65,0.651,4236.2,49.54,0.395,294.17,11.0,69.25,10.35,24132.59,860.82,3000.0
1342.29,1531.23,1.078,4701.94,128.4,0.284,463.5,10.94,62.32,9.99,23943.56,969.0,3000.0
1213.91,1461.68,1.443,6288.01,204.06,0.349,376.47,8.32,64.69,19.0,50903.02,492.63,3000.0
1105.25,1376.68,0.635,7239.94,108.39,0.361,275.11,9.85,62.46,11.93,48277.86,1483.03,3000.0
1130.07,1769.07,0.71,5539.66,51.43,0.377,411.74,8.09,50.72,12.46,45250.66,1133.05,3000.0
1370.76,1658.16,1.007,4370.85,50.11,0.313,242.81,9.59,60.06,17.12,59281.58,713.94,3000.0
1426.66,1284.07,1.44,4493.21,109.02,0.295,155.75,10.2,55.31,12.07,45658.69,1044.39,3000.0
1454.11,1721.08,0.885,6134.59,71.4,0.299,455.74,10.86,52.95,19.42,35380.63,520.43,3000.0
1452.73,1492.46,1.057,2118.67,48.85,0.357,399.5,8.34,78.7,16.86,44757.56,1462.42,3000.0
963.84,1736.73,0.637,5693.62,169.78,0.373,454.92,10.1,67.98,15.17,97992.34,592.26,3000.0
1246.09,1679.91,0.734,4161.86,120.66,0.277,165.58,7.72,71.86,18.57,52889.07,1112.83,3000.0
940.29,1455.13,1.488,6706.34,92.73,0.306,484.85,11.06,59.46,8.6,55577.02,670.0,3000.0
1284.67,1213.48,1.469,2639.35,193.51,0.385,397.81,6.62,61.79,11.08,66123.6,1189.32,3000.0
1209.07,1361.21,0.604,5511.57,64.16,0.371,375.36,9.28,57.11,13.58,98667.26,1254.5,3000.0
1521.39,1524.98,1.457,4889.64,202.73,0.398,399.85,9.53,52.91,10.72,39328.1,1140.76,3000.0
1145.64,1580.09,1.175,5825.49,96.8,0.363,495.77,9.67,55.37,16.93,74502.57,1075.95,3000.0
981.95,1354.73,1.381,2476.15,191.59,0.309,384.77,7.05,73.93,19.03,77278.78,1381.72,3000.0
1000.09,1283.61,1.009,5463.91,144.49,0.339,382.38,10.82,70.33,13.09,68585.95,486.49,3000.0
1433.06,1700.96,1.064,5356.61,181.41,0.349,546.27,7.33,66.41,12.11,27086.27,764.01,3000.0
1332.75,1790.64,1.04,5351.83,207.36,0.262,452.69,9.36,64.25,19.54,74149.78,673.12,3000.0
970.79,1515.41,1.2,5600.23,92.59,0.332,326.92,7.52,77.67,13.34,25127.58,1486.82,3000.0
958.87,1303.01,0.726,6023.51,203.59,0.356,432.96,7.91,52.18,13.87,67691.41,828.33,3000.0
1390.68,1363.38,0.627,6768.94,109.26,0.275,305.69,9.01,58.42,12.22,79166.49,1205.87,3000.0
950.93,1211.03,0.877,3664.96,108.61,0.367,241.55,8.42,60.5,18.91,36877.59,1153.2,3000.0
1475.3,1748.58,1.234,6885.29,101.16,0.338,388.74,7.24,73.47,14.83,87329.76,633.29,3000.0
1394.37,1270.65,0.782,4989.88,134.33,0.393,521.27,7.29,79.78,17.15,22428.3,662.9,3000.0
956.94,1545.91,1.206,2546.94,70.43,0.256,521.66,8.42,57.22,17.74,87505.03,709.41,3000.0
959.39,1364.43,1.473,2439.6,136.36,0.29,286.76,9.98,76.23,12.1,56826.32,852.24,3000.0
1590.65,1532.51,0.685,4038.58,134.38,0.34,361.07,10.63,74.92,13.2,37407.04,657.76,3000.0
1161.99,1590.85,1.205,6652.4,170.71,0.294,234.65,6.89,56.74,18.18,30702.25,421.62,3000.0
1159.45,1697.85,0.999,6204.55,182.55,0.357,548.25,8.31,61.98,12.36,96264.57,1367.33,3000.0
1468.96,1323.85,1.381,6673.97,117.67,0.364,542.45,6.96,62.29,17.53,25813.25,1462.17,3000.0
1563.07,1206.6,0.759,5100.16,94.88,0.265,409.8,6.58,79.35,19.29,35927.47,775.73,3000.0
1590.2,1282.13,1.223,4653.15,87.79,0.327,471.77,9.54,55.43,15.48,47825.79,772.36,3000.0
1427.36,1740.01,1.354,2955.22,77.11,0.326,436.04,9.27,73.97,16.9,69618.79,407.8,3000.0
1163.38,1724.33,1.45,4003.52,54.51,0.305,387.26,7.25,60.03,17.66,63584.09,1148.28,3000.0
958.45,1558.45,1.215,4617.31,101.5,0.39,171.34,7.58,71.93,18.14,30051.48,1307.98,3000.0
1444.0,1560.31,1.047,2613.88,89.59,0.374,331.91,6.61,62.6,12.74,43178.24,561.27,3000.0
1290.88,1599.02,1.156,3379.55,204.46,0.355,419.91,10.34,67.35,8.62,39100.14,575.63,3000.0
1196.96,1305.22,1.382,5569.71,137.02,0.357,421.01,10.98,74.98,12.82,37083.43,1269.09,3000.0
1534.45,1748.65,1.114,6366.85,102.3,0.319,299.25,7.12,74.12,16.09,52891.55,1077.92,3000.0
977.84,1451.26,0.627,7890.42,140.78,0.388,526.68,7.56,75.99,13.4,76322.52,449.35,3000.0
1244.84,1429.88,1.438,7512.06,67.97,0.354,216.94,10.49,51.79,16.99,37396.23,1084.8,3000.0
907.95,1511.35,1.221,5826.88,118.27,0.359,350.14,10.76,70.76,12.28,49334.31,739.81,3000.0
1228.06,1228.18,1.209,4543.24,148.33,0.379,426.35,8.43,54.2,15.62,51273.39,805.6,3000.0
939.41,1299.77,0.794,5789.83,125.67,0.291,428.85,6.73,62.47,10.24,98116.52,1246.7,3000.0
983.17,1642.82,1.193,6656.78,111.29,0.371,409.46,6.68,66.46,16.99,96373.31,1292.03,3000.0
982.27,1249.68,0.954,2786.35,208.98,0.279,260.12,9.14,62.08,14.55,84011.01,840.39,3000.0
1354.45,1561.89,1.186,4477.45,190.25,0.302,212.48,8.31,65.59,10.45,39332.71,1441.87,3000.0
1422.23,1347.21,0.696,6970.85,147.86,0.3,404.38,6.63,79.9,11.5,25442.99,847.11,3000.0
1308.36,1433.58,1.192,4326.23,138.95,0.397,389.72,9.18,54.06,16.98,45352.33,1249.02,3000.0
1573.52,1373.22,1.499,5416.86,147.41,0.378,221.74,6.55,70.26,13.79,41343.56,932.26,3000.0
1162.41,1413.4,0.643,5509.06,78.22,0.355,432.06,10.12,61.88,10.59,60474.06,1387.29,3000.0
1100.0,1631.43,1.479,3169.96,110.2,0.359,332.07,7.91,53.99,19.61,82218.23,1398.54,3000.0
1508.02,1378.27,0.966,4200.97,51.51,0.334,417.1,6.69,54.76,16.58,88665.84,496.16,3000.0
1056.52,1539.84,1.384,4040.17,123.47,0.392,484.95,9.21,78.48,19.49,87589.13,1430.14,3000.0
1574.26,1485.63,1.304,2251.94,134.6,0.324,217.89,8.33,76.39,13.13,48774.04,1308.09,3000.0
908.51,1598.2,1.11,2240.31,82.58,0.307,157.66,10.98,77.21,13.7,74978.75,1270.44,3000.0
1578.92,1762.1,1.265,6923.84,204.06,0.274,461.64,9.0,79.75,18.78,45026.74,621.0,3000.0
930.21,1639.54,1.391,3683.81,195.06,0.368,393.88,7.77,56.25,14.3,24872.44,1285.63,3000.0
1523.8,1328.96,0.964,5104.86,164.15,0.36,429.86,9.76,60.66,16.49,76125.22,1335.15,3000.0
1269.39,1218.71,0.894,3832.61,133.01,0.308,485.26,7.75,70.08,11.03,20786.2,718.07,3000.0
1595.08,1357.36,1.201,7555.94,188.54,0.254,471.12,10.66,64.51,13.36,52734.61,1447.49,3000.0
951.66,1557.05,1.327,3603.92,66.56,0.376,534.37,8.22,62.55,9.48,46350.34,454.85,3000.0
1287.7,1230.86,1.286,4592.01,175.43,0.252,364.37,9.03,60.73,10.47,75470.2,564.9,3000.0
1578.51,1497.82,1.318,7161.84,65.6,0.356,345.4,6.73,67.81,8.01,81299.64,991.34,3000.0
1266.17,1558.11,0.992,6983.21,176.04,0.396,310.75,8.46,67.27,8.47,44327.57,1033.37,3000.0
1340.58,1400.55,1.336,3179.39,90.5,0.316,211.48,10.33,54.84,19.73,84930.16,1109.67,3000.0
1387.02,1662.55,0.708,6755.33,189.72,0.285,379.04,10.21,64.15,10.91,43513.34,418.67,3000.0
1218.18,1263.96,1.09,4757.48,200.77,0.356,260.81,7.53,66.6,15.96,55706.11,1456.4,3000.0
1339.29,1245.08,0.605,4901.22,69.55,0.373,518.52,7.54,67.11,18.07,78161.48,449.05,3000.0
